house_id		household_id		plug_id		average_work		average_load
14		15		6		68		26.77333333333333333333333333
14		7		2		1		0
16		7		0		4		0
12		2		1		3		0
14		16		1		0		0
14		6		1		3		0
26		3		2		1		0
26		4		11		68		34.28
26		5		4		4		0
27		4		4		2		0
27		5		7		1		0
17		1		7		3		0
24		6		3		35		11.57239057239057239057239057
24		7		4		3		0
26		2		1		0		0
27		2		2		0		0
30		0		1		3		0
37		2		10		68		29.15771812080536912751677852
37		5		3		4		0
37		8		2		12		10.33444816053511705685618729
37		6		6		3		0
37		7		5		3		0
38		3		0		0		0
38		8		1		35		5.855704697986577181208053691
9		1		3		12		7.123745819397993311036789298
14		12		11		12		10.85953177257525083612040134
15		0		0		174		285.1543624161073825503355705
10		4		1		1		0
12		3		6		1		0
4		11		0		174		189.9259259259259259259259259
15		1		3		0		0.03603603603603603603603603604
34		2		5		0		0.09909909909909909909909909910
34		5		0		0		0.03603603603603603603603603604
38		2		3		0		0.03603603603603603603603603604
7		7		11		1		0
9		0		12		1		0
5		0		2		2		0
0		9		12		0		0
10		4		3		1		0
14		16		3		12		13.90635451505016722408026756
12		2		3		0		0
15		0		2		0		0
23		1		5		2		0
27		2		0		1		0
28		0		7		2		0
28		9		0		2		0
3		0		4		68		32.29666666666666666666666667
32		12		3		12		6.214046822742474916387959866
32		13		0		1		0
20		1		0		0		0
20		7		6		0		0
28		1		4		0		0
32		5		4		4		0
32		6		9		68		87.46308724832214765100671141
28		7		2		3		0
30		0		3		3		0
32		11		6		3		0
35		0		4		1		0
35		3		1		4		0
37		8		0		12		10.13712374581939799331103679
38		2		1		4		0
38		3		2		1		0
39		11		9		4		0
39		12		4		12		13.00668896321070234113712375
5		1		5		68		41.18456375838926174496644295
38		5		2		35		5.734899328859060402684563758
39		4		0		3		0
39		5		3		3		0
39		7		5		0		0
0		13		0		174		176.7224080267558528428093645
12		3		4		12		19.19732441471571906354515050
20		0		3		174		453.1237458193979933110367893
0		6		9		1		0
27		5		5		174		467.2617449664429530201342282
32		3		2		174		112.8322147651006711409395973
32		4		7		174		307.9364548494983277591973244
0		3		2		1		0
28		15		6		1		0
39		13		7		1		0
14		9		2		3		0
16		0		1		35		11.13712374581939799331103679
18		0		3		1		0
18		1		4		2		0
2		0		9		2		0
2		3		4		2		0
21		10		6		35		8.515050167224080267558528428
21		11		5		4		0
21		12		0		1		0
21		4		4		1		0
21		9		11		2		0
22		1		2		4		0
25		0		4		3		0
25		1		11		3		0
33		8		4		3		0
35		2		12		1		0
39		2		2		35		6.016778523489932885906040268
